id,timestamp,device_timestamp,freeheapmemory,networktrafficvolume,packetsize,responsetime,errorrate,powerconsumption
22203,2024-08-25 13:15:47.175552+00,4917,49992,0,0,-1,0,0.12
22204,2024-08-25 13:15:48.190029+00,5917,49776,0,0,-1,0,0.09
22205,2024-08-25 13:15:49.167124+00,6917,49584,0,0,-1,0,0.02
22206,2024-08-25 13:15:50.234191+00,7917,49392,0,0,-1,0,0.02
22207,2024-08-25 13:15:51.173122+00,8917,49200,0,0,-1,0,0.02
22208,2024-08-25 13:15:52.254011+00,9917,49008,0,0,-1,0,0.02
22209,2024-08-25 13:15:53.190795+00,10917,48816,0,0,-1,0,0.03
22210,2024-08-25 13:15:54.192397+00,11917,48816,0,0,-1,0,0.02
22211,2024-08-25 13:15:55.180145+00,12917,48816,0,0,-1,0,0.03
22212,2024-08-25 13:15:56.185171+00,13917,48816,0,0,-1,0,0.03
22213,2024-08-25 13:15:57.162418+00,14917,48312,0,0,-1,0,0.02
22214,2024-08-25 13:15:58.173381+00,15917,48312,0,0,-1,0,0.02
22215,2024-08-25 13:15:59.212367+00,16917,48312,0,0,-1,0,0.07
22216,2024-08-25 13:16:00.200797+00,17917,48312,0,0,-1,0,0.05
22217,2024-08-25 13:16:01.183241+00,18917,48312,0,0,-1,0,0.05
22218,2024-08-25 13:16:02.170227+00,19917,48312,0,0,-1,0,0.12
22219,2024-08-25 13:16:03.164356+00,20917,48312,0,0,-1,0,0.09
22220,2024-08-25 13:16:04.169853+00,21917,48312,0,0,-1,0,0.03
22221,2024-08-25 13:16:05.164748+00,22917,48312,0,0,-1,0,0.03
22222,2024-08-25 13:16:06.180044+00,23917,48312,0,0,-1,0,0.03
22223,2024-08-25 13:16:07.185214+00,24917,48312,0,0,-1,0,0.02
22224,2024-08-25 13:16:08.172158+00,25917,48312,0,0,-1,0,0.03
22225,2024-08-25 13:16:09.181552+00,26917,48312,0,0,-1,0,0.05
22226,2024-08-25 13:16:10.158297+00,27917,48312,0,0,-1,0,0.16
22227,2024-08-25 13:16:11.173518+00,28917,48312,0,0,-1,0,0.02
22228,2024-08-25 13:16:12.165111+00,29917,48312,0,0,-1,0,0.02
22229,2024-08-25 13:16:13.198836+00,30917,48312,0,0,-1,0,0.07
22230,2024-08-25 13:16:14.166733+00,31917,48312,0,0,-1,0,0.05
22231,2024-08-25 13:16:15.213352+00,32917,48312,0,0,-1,0,0.05
22232,2024-08-25 13:16:16.168564+00,33917,48312,0,0,-1,0,0.16
22233,2024-08-25 13:16:17.179407+00,34917,48312,0,0,-1,0,0.12
22234,2024-08-25 13:16:18.16806+00,35917,48312,0,0,-1,0,0.02
22235,2024-08-25 13:16:19.179765+00,36917,48312,0,0,-1,0,0.02
22236,2024-08-25 13:16:20.183618+00,37917,48312,0,0,-1,0,0.02
22237,2024-08-25 13:16:21.180554+00,38917,48312,0,0,-1,0,0.02
22238,2024-08-25 13:16:22.174582+00,39917,48312,0,0,-1,0,0.1
22239,2024-08-25 13:16:23.162764+00,40917,48312,0,0,-1,0,0.14
22240,2024-08-25 13:16:24.204697+00,41917,48312,0,0,-1,0,0.03
22241,2024-08-25 13:16:25.17955+00,42917,48312,0,0,-1,0,0.02
22242,2024-08-25 13:16:26.187474+00,43917,48312,0,0,-1,0,0.02
22243,2024-08-25 13:16:27.154376+00,44917,48312,0,0,-1,0,0.07
22244,2024-08-25 13:16:28.181793+00,45917,48312,0,0,-1,0,0.05
22245,2024-08-25 13:16:29.170807+00,46917,48312,0,0,-1,0,0.05
22246,2024-08-25 13:16:30.198422+00,47917,48312,0,0,-1,0,0.1
22247,2024-08-25 13:16:31.171814+00,48917,48312,0,0,-1,0,0.02
22248,2024-08-25 13:16:32.181415+00,49917,48312,0,0,-1,0,0.03
22249,2024-08-25 13:16:33.169189+00,50917,48312,0,0,-1,0,0.03
22250,2024-08-25 13:16:34.247772+00,51917,48312,0,0,-1,0,0.03
22251,2024-08-25 13:16:35.166914+00,52917,48312,0,0,-1,0,0.03
22252,2024-08-25 13:16:36.173924+00,53917,48312,0,0,-1,0,0.07
22253,2024-08-25 13:16:37.165731+00,54917,48312,0,0,-1,0,0.09
22254,2024-08-25 13:16:38.172402+00,55917,48312,0,0,-1,0,0.02
22255,2024-08-25 13:16:39.170186+00,56917,48312,0,0,-1,0,0.02
22256,2024-08-25 13:16:40.167567+00,57917,48312,0,0,-1,0,0.05
22257,2024-08-25 13:16:41.185673+00,58917,48312,0,0,-1,0,0.05
22258,2024-08-25 13:16:42.170561+00,59917,48312,0,0,-1,0,0.07
22259,2024-08-25 13:16:43.206193+00,60917,48312,0,0,-1,0,0.1
22260,2024-08-25 13:16:44.167862+00,61917,48312,0,0,-1,0,0.16
22261,2024-08-25 13:16:45.407959+00,62917,48312,0,0,-1,0,0.02
22262,2024-08-25 13:16:46.163634+00,63917,48312,0,0,-1,0,0.02
22263,2024-08-25 13:16:47.214385+00,64917,48312,0,0,-1,0,0.03
22264,2024-08-25 13:16:48.236037+00,65917,48312,0,0,-1,0,0.02
22265,2024-08-25 13:16:49.190878+00,66917,48312,0,0,-1,0,0.03
22266,2024-08-25 13:16:50.161215+00,67917,48312,0,0,-1,0,0.03
22267,2024-08-25 13:16:51.187246+00,68917,48312,0,0,-1,0,0.09
22268,2024-08-25 13:16:52.165913+00,69917,48312,0,0,-1,0,0.07
22269,2024-08-25 13:16:53.191613+00,70917,48312,0,0,-1,0,0.02
22270,2024-08-25 13:16:54.167733+00,71917,48312,0,0,-1,0,0.02
22271,2024-08-25 13:16:55.187984+00,72917,48312,0,0,-1,0,0.02
22272,2024-08-25 13:16:56.168123+00,73917,48312,0,0,-1,0,0.05
22273,2024-08-25 13:16:57.164044+00,74917,48312,0,0,-1,0,0.03
22274,2024-08-25 13:16:58.196658+00,75917,48312,0,0,-1,0,0.07
22275,2024-08-25 13:16:59.176364+00,76917,48312,0,0,-1,0,0.05
22276,2024-08-25 13:17:00.239891+00,77917,48312,0,0,-1,0,0.17
22277,2024-08-25 13:17:01.163932+00,78917,48312,0,0,-1,0,0.02
22278,2024-08-25 13:17:02.188865+00,79917,48312,0,0,-1,0,0.02
22279,2024-08-25 13:17:03.205258+00,80917,48312,0,0,-1,0,0.03
22280,2024-08-25 13:17:04.160738+00,81917,48312,0,0,-1,0,0.03
22281,2024-08-25 13:17:05.209044+00,82917,48312,0,0,-1,0,0.03
22282,2024-08-25 13:17:06.17458+00,83917,48312,0,0,-1,0,0.03
22283,2024-08-25 13:17:07.203765+00,84917,48312,0,0,-1,0,0.1
22284,2024-08-25 13:17:08.160339+00,85917,48312,0,0,-1,0,0.07
22285,2024-08-25 13:17:09.21728+00,86917,48312,0,0,-1,0,0.02
22286,2024-08-25 13:17:10.163443+00,87917,48312,0,0,-1,0,0.02
22287,2024-08-25 13:17:11.195188+00,88917,48312,0,0,-1,0,0.02
22288,2024-08-25 13:17:12.164228+00,89917,48312,0,0,-1,0,0.07
22289,2024-08-25 13:17:13.198012+00,90917,48312,0,0,-1,0,0.07
22290,2024-08-25 13:17:14.164754+00,91917,48312,0,0,-1,0,0.14
22291,2024-08-25 13:17:15.221574+00,92917,48312,0,0,-1,0,0.07
22292,2024-08-25 13:17:16.168303+00,93917,48312,0,0,-1,0,0.16
22293,2024-08-25 13:17:17.172985+00,94917,48312,0,0,-1,0,0.03
22294,2024-08-25 13:17:18.165102+00,95917,48312,0,0,-1,0,0.03
22295,2024-08-25 13:17:19.215339+00,96917,48312,0,0,-1,0,0.03
22296,2024-08-25 13:17:20.221923+00,97917,48312,0,0,-1,0,0.02
22297,2024-08-25 13:17:21.198807+00,98917,48312,0,0,-1,0,0.02
22298,2024-08-25 13:17:22.166481+00,99917,48312,0,0,-1,0,0.02
22299,2024-08-25 13:17:23.190409+00,100917,48312,0,0,-1,0,0.07
22300,2024-08-25 13:17:24.17102+00,101917,48312,0,0,-1,0,0.05
22301,2024-08-25 13:17:25.24522+00,102917,48312,0,0,-1,0,0.03
22302,2024-08-25 13:17:26.165293+00,103917,48312,0,0,-1,0,0.02
22303,2024-08-25 13:17:27.189873+00,104917,48312,0,0,-1,0,0.02
22304,2024-08-25 13:17:28.180426+00,105917,48312,0,0,-1,0,0.03
22305,2024-08-25 13:17:29.17118+00,106917,48312,0,0,-1,0,0.03
22306,2024-08-25 13:17:30.188555+00,107917,48312,0,0,-1,0,0.07
22307,2024-08-25 13:17:31.166812+00,108917,48312,0,0,-1,0,0.07
22308,2024-08-25 13:17:32.183919+00,109917,48312,0,0,-1,0,0.05
22309,2024-08-25 13:17:33.208112+00,110917,48312,0,0,-1,0,0.16
