id,timestamp,device_timestamp,freeheapmemory,networktrafficvolume,packetsize,responsetime,errorrate,powerconsumption
22753,2024-08-25 13:47:41.705578+00,679601,48144,0,0,-1,0,0.02
22754,2024-08-25 13:47:42.588887+00,680601,48144,0,0,-1,0,0.02
22755,2024-08-25 13:47:43.620915+00,681601,48144,0,0,-1,0,0.02
22756,2024-08-25 13:47:44.65221+00,682601,48144,0,0,-1,0,0.03
22757,2024-08-25 13:47:45.587024+00,683601,48144,0,0,-1,0,0.03
22758,2024-08-25 13:47:46.59777+00,684601,48144,0,0,-1,0,0.07
22759,2024-08-25 13:47:47.609205+00,685601,48144,0,0,-1,0,0.09
22760,2024-08-25 13:47:48.613656+00,686601,48144,0,0,-1,0,0.07
22761,2024-08-25 13:47:49.651275+00,687601,48144,0,0,-1,0,0.02
22762,2024-08-25 13:47:50.715129+00,688704,47816,0,0,-1,0,0.07
22763,2024-08-25 13:47:51.786556+00,689704,48144,0,0,-1,0,0.03
22764,2024-08-25 13:47:52.765852+00,690704,48144,0,0,-1,0,0.03
22765,2024-08-25 13:47:53.696751+00,691704,48144,0,0,-1,0,0.12
22766,2024-08-25 13:47:54.866966+00,692704,48144,0,0,-1,0,0.02
22767,2024-08-25 13:47:55.726347+00,693704,48144,0,0,-1,0,0.03
22768,2024-08-25 13:47:56.704256+00,694704,48144,0,0,-1,0,0.03
22769,2024-08-25 13:47:57.709794+00,695704,48144,0,0,-1,0,0.03
22770,2024-08-25 13:47:58.698787+00,696704,48144,0,0,-1,0,0.03
22771,2024-08-25 13:47:59.71259+00,697704,48144,0,0,-1,0,0.1
22772,2024-08-25 13:48:00.742849+00,698704,48144,0,0,-1,0,0.02
22773,2024-08-25 13:48:01.710281+00,699704,48144,0,0,-1,0,0.02
22774,2024-08-25 13:48:02.744495+00,700704,48144,0,0,-1,0,0.02
22775,2024-08-25 13:48:03.710824+00,701704,48144,0,0,-1,0,0.05
22776,2024-08-25 13:48:04.694704+00,702704,48144,0,0,-1,0,0.03
22777,2024-08-25 13:48:05.695483+00,703704,48144,0,0,-1,0,0.07
22778,2024-08-25 13:48:06.693524+00,704704,48144,0,0,-1,0,0.02
22779,2024-08-25 13:48:07.692774+00,705704,48144,0,0,-1,0,0.02
22780,2024-08-25 13:48:08.714572+00,706704,48144,0,0,-1,0,0.03
22781,2024-08-25 13:48:09.686205+00,707704,48144,0,0,-1,0,0.03
22782,2024-08-25 13:48:10.682187+00,708704,48144,0,0,-1,0,0.09
22783,2024-08-25 13:48:11.735863+00,709704,48144,0,0,-1,0,0.09
22784,2024-08-25 13:48:12.701575+00,710704,48144,0,0,-1,0,0.02
22785,2024-08-25 13:48:13.704366+00,711704,48144,0,0,-1,0,0.02
22786,2024-08-25 13:48:14.683903+00,712704,48144,0,0,-1,0,0.02
22787,2024-08-25 13:48:15.69337+00,713704,48144,0,0,-1,0,0.03
22788,2024-08-25 13:48:16.681453+00,714704,48144,0,0,-1,0,0.09
22789,2024-08-25 13:48:17.699417+00,715704,48144,0,0,-1,0,0.09
22790,2024-08-25 13:48:18.696188+00,716704,48144,0,0,-1,0,0.02
22791,2024-08-25 13:48:19.737862+00,717704,48144,0,0,-1,0,0.02
22792,2024-08-25 13:48:20.691593+00,718704,48144,0,0,-1,0,0.02
22793,2024-08-25 13:48:21.709983+00,719704,48144,0,0,-1,0,0.02
22794,2024-08-25 13:48:22.683156+00,720704,48144,0,0,-1,0,0.09
22795,2024-08-25 13:48:23.725927+00,721704,48144,0,0,-1,0,0.03
22796,2024-08-25 13:48:24.697276+00,722704,48144,0,0,-1,0,0
22797,2024-08-25 13:48:25.706829+00,723704,48144,0,0,-1,0,0.02
22798,2024-08-25 13:48:26.684174+00,724704,48144,0,0,-1,0,0.03
22799,2024-08-25 13:48:27.685358+00,725704,48144,0,0,-1,0,0.05
22800,2024-08-25 13:48:28.685711+00,726704,48144,0,0,-1,0,0.03
22801,2024-08-25 13:48:29.687454+00,727704,48144,0,0,-1,0,0.03
22802,2024-08-25 13:48:30.691774+00,728704,48144,0,0,-1,0,0.03
22803,2024-08-25 13:48:31.734509+00,729704,48144,0,0,-1,0,0.02
22804,2024-08-25 13:48:32.6958+00,730704,48144,0,0,-1,0,0.02
22805,2024-08-25 13:48:33.697335+00,731704,48144,0,0,-1,0,0.02
22806,2024-08-25 13:48:34.750389+00,732704,48144,0,0,-1,0,0.03
22807,2024-08-25 13:48:35.697014+00,733704,48144,0,0,-1,0,0.09
22808,2024-08-25 13:48:36.71115+00,734704,48144,0,0,-1,0,0.07
22809,2024-08-25 13:48:37.730862+00,735704,48144,0,0,-1,0,0.02
22810,2024-08-25 13:48:38.682893+00,736704,48144,0,0,-1,0,0.02
22811,2024-08-25 13:48:39.717733+00,737704,48144,0,0,-1,0,0.03
22812,2024-08-25 13:48:40.698017+00,738704,48144,0,0,-1,0,0.05
22813,2024-08-25 13:48:41.698889+00,739704,48144,0,0,-1,0,0.05
22814,2024-08-25 13:48:42.721554+00,740704,48144,0,0,-1,0,0.12
22815,2024-08-25 13:48:43.68812+00,741704,48144,0,0,-1,0,0.09
22816,2024-08-25 13:48:44.738016+00,742704,48144,0,0,-1,0,0.03
22817,2024-08-25 13:48:45.697428+00,743704,48144,0,0,-1,0,0.02
22818,2024-08-25 13:48:46.6837+00,744704,48144,0,0,-1,0,0.03
22819,2024-08-25 13:48:47.696408+00,745704,48144,0,0,-1,0,0.02
22820,2024-08-25 13:48:48.686579+00,746704,48144,0,0,-1,0,0.02
22821,2024-08-25 13:48:49.701219+00,747704,48144,0,0,-1,0,0.07
22822,2024-08-25 13:48:50.718563+00,748704,48144,0,0,-1,0,0.16
22823,2024-08-25 13:48:51.761886+00,749704,48144,0,0,-1,0,0.02
22824,2024-08-25 13:48:52.683709+00,750704,48144,0,0,-1,0,0.02
22825,2024-08-25 13:48:53.719645+00,751704,48144,0,0,-1,0,0.02
22826,2024-08-25 13:48:54.705695+00,752704,48144,0,0,-1,0,0.05
22827,2024-08-25 13:48:55.717637+00,753704,48144,0,0,-1,0,0.05
22828,2024-08-25 13:48:56.682901+00,754704,48144,0,0,-1,0,0.09
22829,2024-08-25 13:49:01.356067+00,755704,46464,0,0,-1,0,0.09
22830,2024-08-25 13:49:08.588017+00,762751,45464,0,0,-1,0,0.1
22831,2024-08-25 13:49:21.547109+00,776909,46328,0,0,-1,0,0.02
22832,2024-08-25 13:49:27.853848+00,783286,46328,0,0,-1,0,0.05
22833,2024-08-25 13:49:42.716318+00,797124,46328,0,0,-1,0,0.02
22834,2024-08-25 13:49:35.428668+00,789730,46328,0,0,-1,0,0.09
22835,2024-08-25 13:49:50.167863+00,804625,46328,0,0,-1,0,0.09
22836,2024-08-25 13:49:59.231492+00,812199,46328,0,0,-1,0,0.03
22837,2024-08-25 13:50:06.34613+00,821364,46328,0,0,-1,0,0.02
22838,2024-08-25 13:50:09.060389+00,825938,46136,0,0,-1,0,0.02
22839,2024-08-25 13:50:18.584389+00,831640,46328,0,0,-1,0,0.07
22840,2024-08-25 13:50:25.069645+00,840520,46328,0,0,-1,0,0.02
22841,2024-08-25 13:50:31.281385+00,846847,46328,0,0,-1,0,0.02
22842,2024-08-25 13:50:38.157241+00,853104,46328,0,0,-1,0,0.05
22843,2024-08-25 13:50:51.890018+00,868119,46328,0,0,-1,0,0.07
22844,2024-08-25 13:50:58.660619+00,874669,46520,0,0,-1,0,0.1
22845,2024-08-25 13:51:01.264334+00,879154,47096,0,0,-1,0,0.14
22846,2024-08-25 13:51:02.127628+00,880154,48048,0,0,-1,0,0.09
22847,2024-08-25 13:50:46.528166+00,859561,45656,0,0,-1,0,0.02
22848,2024-08-25 13:51:03.136842+00,881154,47856,0,0,-1,0,0.05
22849,2024-08-25 13:51:04.133493+00,882154,47664,0,0,-1,0,0
22850,2024-08-25 13:51:05.133126+00,883154,48144,0,0,-1,0,0.02
22851,2024-08-25 13:51:06.129206+00,884154,48144,0,0,-1,0,0.02
22852,2024-08-25 13:51:07.131984+00,885154,48144,0,0,-1,0,0.03
22853,2024-08-25 13:51:08.179061+00,886154,48144,0,0,-1,0,0.03
22854,2024-08-25 13:51:09.150278+00,887154,48144,0,0,-1,0,0.07
22855,2024-08-25 13:51:10.143027+00,888154,48144,0,0,-1,0,0.09
22856,2024-08-25 13:51:11.163681+00,889154,48144,0,0,-1,0,0.02
22857,2024-08-25 13:51:12.12961+00,890154,48144,0,0,-1,0,0.02
22858,2024-08-25 13:51:13.131878+00,891154,48144,0,0,-1,0,0.02
22859,2024-08-25 13:51:14.130301+00,892154,48144,0,0,-1,0,0.02
22860,2024-08-25 13:51:15.146014+00,893154,48144,0,0,-1,0,0.03
