id,timestamp,device_timestamp,freeheapmemory,networktrafficvolume,packetsize,responsetime,errorrate,powerconsumption
23401,2024-08-25 16:43:25.31876+00,4918,49992,0,0,-1,0,0.03
23402,2024-08-25 16:43:26.479852+00,6070,49640,0,0,-1,0,0.09
23403,2024-08-25 16:43:27.448868+00,7070,49584,0,0,-1,0,0.09
23404,2024-08-25 16:43:28.450554+00,8070,49392,0,0,-1,0,0.05
23405,2024-08-25 16:43:29.457271+00,9070,49200,0,0,-1,0,0.07
23406,2024-08-25 16:43:30.459305+00,10070,49008,0,0,-1,0,0.05
23407,2024-08-25 16:43:31.460243+00,11070,48816,0,0,-1,0,0.07
23408,2024-08-25 16:43:32.460266+00,12070,48816,0,0,-1,0,0.02
23409,2024-08-25 16:43:33.455688+00,13070,48816,0,0,-1,0,0.03
23410,2024-08-25 16:43:34.471186+00,14070,48312,0,0,-1,0,0.03
23411,2024-08-25 16:43:35.447953+00,15070,48312,0,0,-1,0,0.03
23412,2024-08-25 16:43:36.456043+00,16070,48312,0,0,-1,0,0.03
23413,2024-08-25 16:43:37.443473+00,17070,48312,0,0,-1,0,0.02
23414,2024-08-25 16:43:38.451856+00,18070,48312,0,0,-1,0,0.02
23415,2024-08-25 16:43:39.449759+00,19070,48312,0,0,-1,0,0.02
23416,2024-08-25 16:43:40.447769+00,20070,48312,0,0,-1,0,0.03
23417,2024-08-25 16:43:41.452439+00,21070,48312,0,0,-1,0,0.03
23418,2024-08-25 16:43:42.450222+00,22070,48312,0,0,-1,0,0.02
23419,2024-08-25 16:43:43.471944+00,23070,48312,0,0,-1,0,0.03
23420,2024-08-25 16:43:44.441176+00,24070,48312,0,0,-1,0,0.02
23421,2024-08-25 16:43:45.461126+00,25070,48312,0,0,-1,0,0.02
23422,2024-08-25 16:43:46.579981+00,26070,48312,0,0,-1,0,0.02
23423,2024-08-25 16:43:47.460956+00,27070,48312,0,0,-1,0,0.05
23424,2024-08-25 16:43:48.446165+00,28070,48312,0,0,-1,0,0.05
23425,2024-08-25 16:43:49.474857+00,29070,48312,0,0,-1,0,0.09
23426,2024-08-25 16:43:50.477017+00,30070,48312,0,0,-1,0,0.05
23427,2024-08-25 16:43:51.452013+00,31070,48312,0,0,-1,0,0.09
23428,2024-08-25 16:43:52.459446+00,32070,48312,0,0,-1,0,0.05
23429,2024-08-25 16:43:53.454139+00,33070,48312,0,0,-1,0,0.05
23430,2024-08-25 16:43:54.445372+00,34070,48312,0,0,-1,0,0.03
23431,2024-08-25 16:43:55.474227+00,35070,48312,0,0,-1,0,0.03
23432,2024-08-25 16:43:56.444782+00,36070,48312,0,0,-1,0,0.05
23433,2024-08-25 16:43:57.492746+00,37070,48312,0,0,-1,0,0.03
23434,2024-08-25 16:43:58.450654+00,38070,48312,0,0,-1,0,0.07
23435,2024-08-25 16:43:59.441302+00,39070,48312,0,0,-1,0,0.05
23436,2024-08-25 16:44:00.451871+00,40070,48312,0,0,-1,0,0.05
23437,2024-08-25 16:44:01.448163+00,41070,48312,0,0,-1,0,0.02
23438,2024-08-25 16:44:02.445522+00,42070,48312,0,0,-1,0,0.02
23439,2024-08-25 16:44:03.462504+00,43070,48312,0,0,-1,0,0.02
23440,2024-08-25 16:44:04.454973+00,44070,48312,0,0,-1,0,0.02
23441,2024-08-25 16:44:05.492388+00,45070,48312,0,0,-1,0,0.02
23442,2024-08-25 16:44:06.756847+00,46070,48312,0,0,-1,0,0.02
23443,2024-08-25 16:44:07.486503+00,47070,48312,0,0,-1,0,0.02
23444,2024-08-25 16:44:08.754704+00,48070,48312,0,0,-1,0,0.03
23445,2024-08-25 16:44:09.465302+00,49070,48312,0,0,-1,0,0.03
23446,2024-08-25 16:44:10.551572+00,50070,48312,0,0,-1,0,0.05
23447,2024-08-25 16:44:11.48894+00,51070,48312,0,0,-1,0,0.03
23448,2024-08-25 16:44:12.464853+00,52070,47888,23,0,0,0,0.02
23449,2024-08-25 16:44:13.488507+00,53070,47888,0,0,0,0,0.03
23450,2024-08-25 16:44:14.45155+00,54070,47944,0,0,-1,0,0.07
23451,2024-08-25 16:44:15.460281+00,55070,47944,0,0,-1,0,0.07
23452,2024-08-25 16:44:16.602141+00,56070,47944,0,0,-1,0,0.02
23453,2024-08-25 16:44:17.454731+00,57070,47944,0,0,-1,0,0.05
23454,2024-08-25 16:44:18.447914+00,58070,47944,0,0,-1,0,0.02
23455,2024-08-25 16:44:19.483446+00,59070,47944,0,0,-1,0,0.03
23456,2024-08-25 16:44:20.451778+00,60070,47944,0,0,-1,0,0.03
23457,2024-08-25 16:44:21.449051+00,61070,47944,0,0,-1,0,0.02
23458,2024-08-25 16:44:22.446127+00,62070,47944,0,0,-1,0,0.03
23459,2024-08-25 16:44:23.459024+00,63070,47944,0,0,-1,0,0.05
23460,2024-08-25 16:44:24.446025+00,64070,47944,0,0,-1,0,0.03
23461,2024-08-25 16:44:25.49546+00,65070,47944,0,0,-1,0,0.02
23462,2024-08-25 16:44:26.583878+00,66070,47944,0,0,-1,0,0.02
23463,2024-08-25 16:44:27.461423+00,67070,47888,23,0,0,0,0.02
23464,2024-08-25 16:44:28.491575+00,68070,47888,0,0,0,0,0.02
23465,2024-08-25 16:44:29.458521+00,69070,47944,0,0,-1,0,0.02
23466,2024-08-25 16:44:30.716721+00,70070,47944,0,0,-1,0,0.1
23467,2024-08-25 16:44:31.456018+00,71070,47944,0,0,-1,0,0.09
23468,2024-08-25 16:44:32.447093+00,72070,47944,0,0,-1,0,0.05
23469,2024-08-25 16:44:33.466271+00,73070,47944,0,0,-1,0,0.02
23470,2024-08-25 16:44:34.44509+00,74070,47944,0,0,-1,0,0.05
23471,2024-08-25 16:44:35.459109+00,75070,47944,0,0,-1,0,0.02
23472,2024-08-25 16:44:36.499636+00,76070,47944,0,0,-1,0,0.02
23473,2024-08-25 16:44:37.457886+00,77070,47944,0,0,-1,0,0.02
23474,2024-08-25 16:44:38.813304+00,78070,47944,0,0,-1,0,0.02
23475,2024-08-25 16:44:39.457373+00,79070,47944,0,0,-1,0,0.05
23476,2024-08-25 16:44:40.663694+00,80070,47944,0,0,-1,0,0.05
23477,2024-08-25 16:44:41.446851+00,81070,47944,0,0,-1,0,0.09
23478,2024-08-25 16:44:42.591155+00,82070,47888,23,0,0,0,0.03
23479,2024-08-25 16:44:43.538769+00,83070,47888,0,0,0,0,0.02
23480,2024-08-25 16:44:44.441436+00,84070,47944,0,0,-1,0,0.03
23481,2024-08-25 16:44:45.463807+00,85070,47944,0,0,-1,0,0.02
23482,2024-08-25 16:44:46.494865+00,86070,47944,0,0,-1,0,0.03
23483,2024-08-25 16:44:47.44587+00,87070,47944,0,0,-1,0,0.02
23484,2024-08-25 16:44:48.658246+00,88070,47944,0,0,-1,0,0.02
23485,2024-08-25 16:44:49.467103+00,89070,47944,0,0,-1,0,0.02
23486,2024-08-25 16:44:50.576336+00,90070,47944,0,0,-1,0,0.02
23487,2024-08-25 16:44:51.456907+00,91070,47944,0,0,-1,0,0.12
23488,2024-08-25 16:44:52.491411+00,92070,47944,0,0,-1,0,0.07
23489,2024-08-25 16:44:53.458891+00,93070,47944,0,0,-1,0,0.05
23490,2024-08-25 16:44:54.490076+00,94070,47944,0,0,-1,0,0.02
23491,2024-08-25 16:44:55.456119+00,95070,47944,0,0,-1,0,0.05
23492,2024-08-25 16:44:56.451334+00,96070,46336,0,0,0,0,0.02
23493,2024-08-25 16:44:57.593367+00,97070,46144,0,0,0,0,0.07
23494,2024-08-25 16:44:58.607517+00,98070,46456,0,0,0,0,0.02
23495,2024-08-25 16:44:59.476826+00,99070,46264,0,0,0,0,0.02
23496,2024-08-25 16:45:00.497835+00,100070,45936,0,0,0,0,0.02
23497,2024-08-25 16:45:01.4634+00,101070,45744,0,0,0,0,0.02
23498,2024-08-25 16:45:02.807336+00,102070,45744,0,0,0,0,0.02
23499,2024-08-25 16:45:03.468077+00,103070,45744,0,0,0,0,0.02
23500,2024-08-25 16:45:04.460017+00,104070,45744,0,0,0,0,0.07
23501,2024-08-25 16:45:05.456767+00,105070,45552,0,0,0,0,0.02
23502,2024-08-25 16:45:06.57892+00,106070,46008,0,0,0,0,0.05
23503,2024-08-25 16:45:07.451626+00,107070,45752,0,0,0,0,0.05
23504,2024-08-25 16:45:08.456566+00,108070,45560,0,0,0,0,0.03
23505,2024-08-25 16:45:09.441978+00,109070,45368,0,0,0,0,0.02
23506,2024-08-25 16:45:10.795462+00,110070,46072,0,0,0,0,0.03
23507,2024-08-25 16:45:11.44947+00,111070,46072,0,0,0,0,0.03
23508,2024-08-25 16:45:12.611417+00,112070,45376,0,0,0,0,0.02
23509,2024-08-25 16:45:13.467133+00,113070,45776,23,0,0,0,0.03
23510,2024-08-25 16:45:14.458977+00,114070,45088,0,0,0,0,0.02
23511,2024-08-25 16:45:15.4573+00,115070,44592,0,0,0,0,0.02
23512,2024-08-25 16:45:16.492476+00,116070,45032,0,0,0,0,0.03
23513,2024-08-25 16:45:17.458814+00,117070,44456,0,0,0,0,0.02
23514,2024-08-25 16:45:18.457889+00,118070,43056,0,0,0,0,0.02
23515,2024-08-25 16:45:19.464329+00,119070,42480,0,0,0,0,0.02
23516,2024-08-25 16:45:20.659145+00,120070,39808,0,0,0,0,0.03
23517,2024-08-25 16:45:21.463111+00,121070,40176,0,0,0,0,0.02
23518,2024-08-25 16:45:22.587049+00,122070,40176,0,0,0,0,0.03
23519,2024-08-25 16:45:23.449649+00,123070,39984,0,0,0,0,0.02
23520,2024-08-25 16:45:24.463338+00,124070,40640,0,0,0,0,0.03
23521,2024-08-25 16:45:25.467086+00,125070,41528,23,0,0,0,0.03
