id,timestamp,device_timestamp,freeheapmemory,networktrafficvolume,packetsize,responsetime,errorrate,powerconsumption
451,2024-08-24 12:59:00.328452+00,4922,49744,-41,0,-1,0,0.03
452,2024-08-24 12:59:00.328452+00,5922,49744,-43,0,-1,0,0.03
453,2024-08-24 12:59:00.328452+00,6922,49744,-44,0,-1,0,0.05
454,2024-08-24 12:59:00.328452+00,7922,49744,-45,0,-1,0,0.02
455,2024-08-24 12:59:00.328452+00,8922,49744,-43,0,-1,0,0.05
456,2024-08-24 12:59:00.328452+00,9922,49744,-42,0,-1,0,0.07
457,2024-08-24 12:59:00.328452+00,10922,49744,-41,0,-1,0,0.02
458,2024-08-24 12:59:00.328989+00,11922,49744,-43,0,-1,0,0.02
459,2024-08-24 12:59:00.328989+00,12922,49744,-43,0,-1,0,0.02
460,2024-08-24 12:59:00.328989+00,13922,49744,-42,0,-1,0,0.02
461,2024-08-24 12:59:11.055029+00,14922,49024,-40,0,-1,0,0.02
462,2024-08-24 12:59:11.055029+00,15922,49024,-40,0,-1,0,0.02
463,2024-08-24 12:59:11.055029+00,16922,49024,-40,0,-1,0,0.03
464,2024-08-24 12:59:11.055029+00,17922,49024,-40,0,-1,0,0.03
465,2024-08-24 12:59:11.055029+00,18922,49024,-40,0,-1,0,0.02
466,2024-08-24 12:59:11.055029+00,19922,49024,-47,0,-1,0,0.02
467,2024-08-24 12:59:11.055029+00,20922,49024,-45,0,-1,0,0.02
468,2024-08-24 12:59:11.055029+00,21922,49024,-51,0,-1,0,0.03
469,2024-08-24 12:59:11.055029+00,22922,49024,-41,0,-1,0,0.03
470,2024-08-24 12:59:11.055029+00,23922,49024,-44,0,-1,0,0.02
471,2024-08-24 12:59:20.688841+00,25313,48696,-45,0,-1,0,0.02
472,2024-08-24 12:59:20.688841+00,26313,48832,-44,0,-1,0,0.02
473,2024-08-24 12:59:20.688841+00,27313,48832,-42,0,-1,0,0.02
474,2024-08-24 12:59:20.688841+00,28313,48832,-43,0,-1,0,0.03
475,2024-08-24 12:59:20.688841+00,29313,48832,-44,0,-1,0,0.03
476,2024-08-24 12:59:20.688841+00,30313,48832,-43,0,-1,0,0.02
477,2024-08-24 12:59:20.688841+00,31313,48832,-41,0,-1,0,0.03
478,2024-08-24 12:59:20.688841+00,32313,48832,-41,0,-1,0,0.03
479,2024-08-24 12:59:20.688841+00,33313,48832,-41,0,-1,0,0.02
480,2024-08-24 12:59:20.688841+00,34313,48832,-40,0,-1,0,0.02
481,2024-08-24 12:59:30.706385+00,35313,48640,-40,0,-1,0,0.02
482,2024-08-24 12:59:30.706385+00,36313,48640,-40,0,-1,0,0.02
483,2024-08-24 12:59:30.706385+00,37313,48640,-42,0,-1,0,0.02
484,2024-08-24 12:59:30.706385+00,38313,48640,-42,0,-1,0,0.07
485,2024-08-24 12:59:30.706385+00,39313,48640,-42,0,-1,0,0.05
486,2024-08-24 12:59:30.706385+00,40313,48640,-42,0,-1,0,0.02
487,2024-08-24 12:59:30.706385+00,41313,48640,-42,0,-1,0,0.02
488,2024-08-24 12:59:30.706385+00,42313,48640,-42,0,-1,0,0.05
489,2024-08-24 12:59:30.706385+00,43313,48640,-41,0,-1,0,0.03
490,2024-08-24 12:59:30.706385+00,44313,48640,-41,0,-1,0,0.05
491,2024-08-24 12:59:40.713845+00,45313,48448,-42,0,-1,0,0.02
492,2024-08-24 12:59:40.713845+00,46313,48448,-48,0,-1,0,0.02
493,2024-08-24 12:59:40.713845+00,47313,48448,-48,0,-1,0,0.03
494,2024-08-24 12:59:40.713845+00,48313,48448,-47,0,-1,0,0.03
495,2024-08-24 12:59:40.713845+00,49313,48448,-47,0,-1,0,0.02
496,2024-08-24 12:59:40.713845+00,50313,48448,-47,0,-1,0,0.03
497,2024-08-24 12:59:40.713845+00,51313,48448,-47,0,-1,0,0.03
498,2024-08-24 12:59:40.713845+00,52313,48448,-47,0,-1,0,0.05
499,2024-08-24 12:59:40.713845+00,53313,48448,-55,0,-1,0,0.02
500,2024-08-24 12:59:40.713845+00,54313,48448,-47,0,-1,0,0.02
501,2024-08-24 12:59:50.731481+00,55317,48120,-49,0,-1,0,0.07
502,2024-08-24 12:59:50.731481+00,56317,48256,-50,0,-1,0,0.03
503,2024-08-24 12:59:50.731481+00,57317,48256,-48,0,-1,0,0.02
504,2024-08-24 12:59:50.731481+00,58317,48256,-49,0,-1,0,0.02
505,2024-08-24 12:59:50.731481+00,59317,48256,-49,0,-1,0,0.02
506,2024-08-24 12:59:50.731481+00,60317,48256,-46,0,-1,0,0.02
507,2024-08-24 12:59:50.731481+00,61317,48256,-48,0,-1,0,0.05
508,2024-08-24 12:59:50.731481+00,62317,48256,-48,0,-1,0,0.05
509,2024-08-24 12:59:50.731481+00,63317,48256,-49,0,-1,0,0.02
510,2024-08-24 12:59:50.731481+00,64317,48256,-49,0,-1,0,0.03
511,2024-08-24 13:00:00.727246+00,65351,47928,-47,0,-1,0,0.05
