id,timestamp,device_timestamp,freeheapmemory,networktrafficvolume,packetsize,responsetime,errorrate,powerconsumption
23041,2024-08-25 16:23:39.001342+00,4918,49992,0,0,-1,0,0.02
23042,2024-08-25 16:23:39.755584+00,5918,49280,0,0,0,0,0.05
23043,2024-08-25 16:23:40.759613+00,6918,49248,0,0,-1,0,0.05
23044,2024-08-25 16:23:42.976688+00,7918,47576,0,0,-1,0,0.07
23045,2024-08-25 16:23:44.747102+00,10862,47000,0,0,-1,0,0.02
23046,2024-08-25 16:23:45.870807+00,11862,49008,0,0,-1,0,0.09
23047,2024-08-25 16:23:46.772052+00,12862,48816,0,0,-1,0,0.07
23048,2024-08-25 16:23:47.934259+00,13862,48816,0,0,-1,0,0.09
23049,2024-08-25 16:23:51.695424+00,14862,47984,0,0,-1,0,0.05
23050,2024-08-25 16:23:52.306818+00,18482,47872,0,0,-1,0,0.02
23051,2024-08-25 16:23:56.294304+00,19482,48312,0,0,-1,0,0.02
23052,2024-08-25 16:23:59.954083+00,23035,47984,0,0,-1,0,0.02
23053,2024-08-25 16:24:00.690787+00,26892,47984,0,0,-1,0,0.02
23054,2024-08-25 16:24:01.68841+00,27892,48312,0,0,-1,0,0.02
23055,2024-08-25 16:24:02.670884+00,28892,48312,0,0,-1,0,0.02
23056,2024-08-25 16:24:03.740822+00,29892,48312,0,0,-1,0,0.02
23057,2024-08-25 16:24:04.6631+00,30892,48312,0,0,-1,0,0.02
23058,2024-08-25 16:24:05.676222+00,31892,48312,0,0,-1,0,0.02
23059,2024-08-25 16:24:06.671853+00,32892,48312,0,0,-1,0,0.02
23060,2024-08-25 16:24:07.706698+00,33892,48312,0,0,-1,0,0.02
23061,2024-08-25 16:24:08.682088+00,34892,48312,0,0,-1,0,0.03
23062,2024-08-25 16:24:09.665601+00,35892,48312,0,0,-1,0,0.02
23063,2024-08-25 16:24:10.791033+00,36892,48312,0,0,-1,0,0.05
23064,2024-08-25 16:24:12.183537+00,37892,48312,0,0,-1,0,0.05
23065,2024-08-25 16:24:12.785166+00,39005,47984,0,0,-1,0,0.07
23066,2024-08-25 16:24:13.840471+00,40005,48312,0,0,-1,0,0.02
23067,2024-08-25 16:24:14.784648+00,41005,48312,0,0,-1,0,0.03
23068,2024-08-25 16:24:16.329632+00,42005,48312,0,0,-1,0,0.07
23069,2024-08-25 16:24:16.809538+00,43032,47984,0,0,-1,0,0.07
23070,2024-08-25 16:24:17.809733+00,44032,48312,0,0,-1,0,0.03
23071,2024-08-25 16:24:18.820969+00,45032,48312,0,0,-1,0,0.09
23072,2024-08-25 16:24:20.111937+00,46032,48312,0,0,-1,0,0.07
23073,2024-08-25 16:24:20.843606+00,47032,48312,0,0,-1,0,0.09
23074,2024-08-25 16:24:21.885894+00,48032,48312,0,0,-1,0,0.03
23075,2024-08-25 16:24:22.803999+00,49032,48312,0,0,-1,0,0.02
23076,2024-08-25 16:24:23.808966+00,50032,48312,0,0,-1,0,0.03
23077,2024-08-25 16:24:24.810925+00,51032,48312,0,0,-1,0,0.05
23078,2024-08-25 16:24:25.816252+00,52032,48312,0,0,-1,0,0.02
23079,2024-08-25 16:24:26.808549+00,53032,48312,0,0,-1,0,0.02
23080,2024-08-25 16:24:27.871229+00,54032,48312,0,0,-1,0,0.02
23081,2024-08-25 16:24:28.808367+00,55032,48312,0,0,-1,0,0.03
23082,2024-08-25 16:24:29.814651+00,56032,48312,0,0,-1,0,0.02
23083,2024-08-25 16:24:30.80828+00,57032,48312,0,0,-1,0,0.02
23084,2024-08-25 16:24:32.040332+00,58032,48312,0,0,-1,0,0.03
23085,2024-08-25 16:24:32.82615+00,59032,48312,0,0,-1,0,0.02
23086,2024-08-25 16:24:33.961881+00,60032,48312,0,0,-1,0,0.02
23087,2024-08-25 16:24:34.809548+00,61032,48312,0,0,-1,0,0.02
23088,2024-08-25 16:24:35.874453+00,62032,48312,0,0,-1,0,0.03
23089,2024-08-25 16:24:36.810028+00,63032,48312,0,0,-1,0,0.02
23090,2024-08-25 16:24:37.871279+00,64032,48312,0,0,-1,0,0.03
23091,2024-08-25 16:24:38.811332+00,65032,48312,0,0,-1,0,0.02
23092,2024-08-25 16:24:39.810835+00,66032,48312,0,0,-1,0,0.03
23093,2024-08-25 16:24:40.805296+00,67032,48312,0,0,-1,0,0.02
23094,2024-08-25 16:24:41.824957+00,68032,48312,0,0,-1,0,0.02
23095,2024-08-25 16:24:42.80583+00,69032,48312,0,0,-1,0,0.02
23096,2024-08-25 16:24:43.807319+00,70032,48312,0,0,-1,0,0.03
23097,2024-08-25 16:24:44.824539+00,71032,48312,0,0,-1,0,0.02
23098,2024-08-25 16:24:46.115355+00,72032,48312,0,0,-1,0,0.02
23099,2024-08-25 16:24:46.813416+00,73032,48312,0,0,-1,0,0.03
23100,2024-08-25 16:24:48.030347+00,74032,48312,0,0,-1,0,0.03
23101,2024-08-25 16:24:48.811926+00,75032,48312,0,0,-1,0,0.02
23102,2024-08-25 16:24:49.827053+00,76032,48312,0,0,-1,0,0.03
23103,2024-08-25 16:24:50.821797+00,77032,48312,0,0,-1,0,0.03
23104,2024-08-25 16:24:51.825776+00,78032,48312,0,0,-1,0,0.02
23105,2024-08-25 16:24:52.825523+00,79032,48312,0,0,-1,0,0.03
23106,2024-08-25 16:24:53.807837+00,80032,48312,0,0,-1,0,0.02
23107,2024-08-25 16:24:54.84511+00,81032,48312,0,0,-1,0,0.03
23108,2024-08-25 16:24:55.806221+00,82032,48312,0,0,-1,0,0.02
23109,2024-08-25 16:24:56.815704+00,83032,48312,0,0,-1,0,0.05
23110,2024-08-25 16:24:57.827424+00,84032,48312,0,0,-1,0,0.02
23111,2024-08-25 16:24:58.810717+00,85032,48312,0,0,-1,0,0.03
23112,2024-08-25 16:24:59.833506+00,86032,48312,0,0,-1,0,0.05
23113,2024-08-25 16:25:00.82547+00,87032,48312,0,0,-1,0,0.05
23114,2024-08-25 16:25:02.18571+00,88032,48312,0,0,-1,0,0.03
23115,2024-08-25 16:25:02.814987+00,89032,48312,0,0,-1,0,0.03
23116,2024-08-25 16:25:04.112826+00,90032,48312,0,0,-1,0,0.1
23117,2024-08-25 16:25:04.831429+00,91032,48312,0,0,-1,0,0.05
23118,2024-08-25 16:25:05.8761+00,92032,48312,0,0,-1,0,0.05
23119,2024-08-25 16:25:09.575918+00,93032,48312,0,0,-1,0,0.07
23120,2024-08-25 16:25:10.213726+00,96375,47984,0,0,-1,0,0.03
23121,2024-08-25 16:25:16.304847+00,102378,48200,0,0,-1,0,0.07
23122,2024-08-25 16:25:17.189147+00,103378,48312,0,0,-1,0,0.03
23123,2024-08-25 16:25:18.177066+00,104378,48312,0,0,-1,0,0.05
23124,2024-08-25 16:25:24.184151+00,110381,48200,0,0,-1,0,0.02
23125,2024-08-25 16:25:27.735673+00,111381,48312,0,0,-1,0,0.02
23126,2024-08-25 16:25:28.419075+00,114573,47984,0,0,-1,0,0.1
23127,2024-08-25 16:25:29.631693+00,115573,48312,0,0,-1,0,0.09
23128,2024-08-25 16:25:30.367314+00,116573,48200,0,0,-1,0,0.07
23129,2024-08-25 16:25:31.493863+00,117573,48312,0,0,-1,0,0.07
23130,2024-08-25 16:25:34.778326+00,118573,48312,0,0,-1,0,0.09
23131,2024-08-25 16:25:35.397242+00,121551,47872,0,0,-1,0,0.03
23132,2024-08-25 16:25:36.373092+00,122551,47656,0,0,-1,0,0.02
23133,2024-08-25 16:25:48.778449+00,128555,46520,0,0,-1,0,0.03
23134,2024-08-25 16:25:53.39017+00,138573,46224,0,0,-1,0,0.02
23135,2024-08-25 16:26:01.627895+00,144618,46280,0,0,-1,0,0.07
